datetime,machineID,errorID
2015-01-03 07:00:00,1,error1
2015-01-03 20:00:00,1,error3
2015-01-04 06:00:00,1,error5
2015-01-10 15:00:00,1,error4
2015-01-22 10:00:00,1,error4
2015-01-25 15:00:00,1,error4
2015-01-27 04:00:00,1,error1
2015-03-03 22:00:00,1,error2
2015-03-05 06:00:00,1,error1
2015-03-20 18:00:00,1,error1
2015-03-26 01:00:00,1,error2
2015-03-31 23:00:00,1,error1
2015-04-19 06:00:00,1,error2
2015-04-19 06:00:00,1,error3
2015-04-29 19:00:00,1,error4
2015-05-04 23:00:00,1,error2
2015-05-12 09:00:00,1,error1
2015-05-21 07:00:00,1,error4
2015-05-24 02:00:00,1,error3
2015-05-25 05:00:00,1,error1
2015-06-09 06:00:00,1,error3
2015-06-18 06:00:00,1,error5
2015-06-23 10:00:00,1,error3
2015-08-23 19:00:00,1,error1
2015-08-30 01:00:00,1,error3
2015-09-01 06:00:00,1,error5
2015-09-13 17:00:00,1,error2
2015-09-15 06:00:00,1,error1
2015-10-01 23:00:00,1,error1
2015-10-15 05:00:00,1,error1
2015-10-16 03:00:00,1,error3
2015-10-16 06:00:00,1,error2
2015-10-16 06:00:00,1,error3
2015-11-10 04:00:00,1,error3
2015-12-15 06:00:00,1,error5
2015-01-12 14:00:00,2,error4
2015-02-06 10:00:00,2,error4
2015-02-11 11:00:00,2,error1
2015-03-11 22:00:00,2,error2
2015-03-18 06:00:00,2,error1
2015-03-18 06:00:00,2,error2
2015-03-18 06:00:00,2,error3
2015-03-26 03:00:00,2,error2
2015-03-27 17:00:00,2,error3
2015-04-17 06:00:00,2,error2
2015-04-17 06:00:00,2,error3
2015-05-07 08:00:00,2,error2
2015-05-13 10:00:00,2,error1
2015-05-30 20:00:00,2,error5
2015-06-18 14:00:00,2,error5
2015-07-18 06:00:00,2,error4
2015-07-20 10:00:00,2,error2
2015-07-23 02:00:00,2,error1
2015-08-03 10:00:00,2,error1
2015-08-18 22:00:00,2,error5
2015-08-23 10:00:00,2,error2
2015-08-28 08:00:00,2,error2
2015-09-16 13:00:00,2,error4
2015-09-19 21:00:00,2,error4
2015-09-23 19:00:00,2,error2
2015-11-08 21:00:00,2,error3
2015-12-28 06:00:00,2,error2
2015-12-28 06:00:00,2,error3
2015-01-06 06:00:00,3,error2
2015-01-06 06:00:00,3,error3
2015-01-08 02:00:00,3,error1
2015-01-11 05:00:00,3,error1
2015-01-11 19:00:00,3,error3
2015-01-28 17:00:00,3,error4
2015-02-05 06:00:00,3,error1
2015-02-23 06:00:00,3,error4
2015-03-02 11:00:00,3,error4
2015-03-21 16:00:00,3,error3
2015-04-06 16:00:00,3,error2
2015-04-09 09:00:00,3,error3
2015-04-26 19:00:00,3,error2
2015-05-06 19:00:00,3,error4
2015-05-24 15:00:00,3,error2
2015-06-10 21:00:00,3,error4
2015-06-27 07:00:00,3,error1
2015-07-09 21:00:00,3,error4
2015-07-18 19:00:00,3,error1
2015-07-20 06:00:00,3,error2
2015-07-20 06:00:00,3,error3
2015-07-25 23:00:00,3,error4
2015-07-29 17:00:00,3,error1
2015-08-02 15:00:00,3,error1
2015-08-07 04:00:00,3,error2
2015-09-08 04:00:00,3,error1
2015-09-13 11:00:00,3,error1
2015-09-18 10:00:00,3,error2
2015-10-01 02:00:00,3,error5
2015-10-03 06:00:00,3,error2
2015-10-03 06:00:00,3,error3
2015-10-23 14:00:00,3,error3
2015-10-31 23:00:00,3,error2
2015-11-07 15:00:00,3,error4
2015-11-20 23:00:00,3,error1
2015-12-02 06:00:00,3,error2
2015-12-02 06:00:00,3,error3
